0,ГБУЗ СК ГБ (ГП №2),2635221863
1,ГБУЗ СК ГБ (ГБ№2),
2,Дантист,
3,ГБУЗ СК ГБ (ГДБ),2631017874
4,"Невинномысский филиал АНМО ""СКККДЦ"", г.невинномысск",2634049360
5,"ООО ""ЗУБР""",2631027142
6,"ООО ""Улыбка"", г.Невинномысск",2631028107
7,"ООО ""ЦСС"", г.Невинномысск",2631030603
8,"ООО ""Эстетическая Стоматология"" Невинномысск",2631027880
9,"ООО НППФ  ""Альянс-Рем""",
10,"ООО ТАДЦ ""Ритм""",2631009785
11,ГБУЗ СК ГСП г.Невинномысска,2631016895
12,"ООО ""ЛадаДент""",2610017369
13,"ООО ""Айсберг""",2631034855
14,"ГБУЗ СК ""КСПБ №2"", п.Тоннельный",2610005839
15,ИП Пенькова Н.В.,261001587570
16,"АНМО ""СКККДЦ"", г.Ставрополь",2634049360
17,"ГАУЗ СК ""Городская Поликлиника № 3"" Г. Ставрополя",2635077200
18,"ГАУЗ СК ""ГСП № 2"" Г. Ставрополя",2636041790
19,"ГАУЗ СК""ГСП№1"" Г.Ставрополя",2635070950
20,"ГБУЗ СК ""ГДКБ им.Г.К.Филиппского"" Г.Ставрополя ",2633005289
21,"ГБУЗ СК ""ГДКП №2"", г.Ставрополя",2633005306
22,"ГБУЗ СК ""ГДП № 3"" Г. Ставрополя",2635089936
23,"ГБУЗ СК ""ГКБ №3"", г.Ставрополя",2633001950
24,"ГБУЗ СК ""ГКДСП"" Г. Ставрополя",2634067584
25,"ГБУЗ СК ""ГКП №5"", г.Ставрополя",2636089294
26,"ГБУЗ СК ""СККПЦ №1""",2635221863
27,"ГБУЗ СК ""СККПЦ"", г.Ставрополь",2633002721
28,"ГБУЗ СК ""СККСПБ № 1"", г.Ставрополь",2633002440
29,"ГБУЗ СК ""Шпаковская РСП"", г.Михайловск",2623015062
30,"ГБУЗ СК ГКП №1, г.Ставрополя",2633003193
31,"ГБУЗ СК КСКИБ, г.Ставрополя",2633001990
32,"ГКУЗ СК ""КСД ""Дружба""",2636004646
33,"ООО ""Апполония"", г.Михайловск",2623018659
34,"ООО ""БЕЛЫЙ ПАРУС"",г.Ставрополь",2636810075
35,ИП Летов И.И.,263401052767
36,"ООО ""ВИКТОРИЯ"", г.Ставрополь",2636087924
37,"ООО ""ВитаДент"", г.Ставрополь",2635083892
38,"ООО ""Дента-Л"", г.Ставрополь",2635085339
39,"ООО ""Дом Стоматологии"", г.Ставрополь",2634063413
40,"ООО ""ЕвроДент"" , г.Ставрополь",2635101220
41,"ООО ""КВИНТЭСС - ККСП"" , г.Ставрополь",2633004976
42,"ООО ""КДС"", г.Ставрополь",2635091205
43,"ООО ""Клиника Прима Дент"", г.Ставрополь",2634093520
44,"ООО ""Корона Дентис"", г.Ставрополь",2635800236
45,"ООО ""Лаврентьевой Х. Г.""",2636052167
46,"ООО ""ЛТД"", г.Ставрополь",2635805330
47,"ООО ""ЛТД+"", г.Ставрополь",2634096433
48,"ООО ""Поликлиника"", г.Ставрополь",2634811299
49,"ООО ""Промед"", г.Ставрополь",2634803347
50,"ООО ""Симфония Улыбки"", Ставрополь ",2635221969
51,"ООО ""СКМУМЦ"" , г.Ставрополь",2635060581
52,"ООО ""Следующее Поколение"", г.Ставрополь",2634101490
53,"ООО ""Центр Современной Стоматологии""",2634813553
54,"ООО «Стоматологический центр Ренессанс»,    г Ставрополь",2634077208
55,"ООО НПО ""Аполония"", г.Ставрополь",2635134106
56,"ФКУЗ ""МСЧ МВД России по Ставропольскому краю""",2634069743
57,"ФКУЗ ""МСЧ МВД России по Ставропольскому краю"" г.Пятигорск",2634069743
58,"Частное учреждение «Центр образовательной и клинической соматологии профессора Брагина», г. Ставрополь",2634079300
59,"НУЗ ""Узловая Поликлиника на Ст. Ставрополь ОАО "" РЖД"", г.Ставрополь",2636044215
60,"ГБУЗ СК ""ГККДП"" Г. Ставрополя",2634051753
61,"ООО ""Газпром трансгаз Ставрополь"", г.Ставрополь",2636032629
62,ООО СКПА,2621800525
63,"ГБУЗ СК ""ГКБ №2"", г.Ставрополя",2633001686
64,"ГБУЗ СК ""Городская Клиническая Поликлиника № 6"" Г. Ставрополя",2633002873
65,"ГБУЗ СК ""ККДП ""Хозрасчетная"", г.Ставропль",2633001140
66,"ООО ""Авторская Стоматология Юлии Ворониной""",2635104983
67,"ООО ""Зубная Фея""",2635219920
68,"ГБУЗ СК ""Городская Поликлиника № 2"" Г.Ставрополя",2633003010
69,"ООО ""Аксиома-Ставрополь"" ",2634102849
70,"ООО ""Клиника Доктор Кит""",2635807986
71,"ГБУЗ СК ""КЭД""",2633004253
72,"ГАУЗ СК ""Стоматологическая Поликлиника"" Г. Нефтекумск",2614018081
73,"ГБУЗ СК ""Апанасенковская РБ"" ",2602004461
74,"ГБУЗ СК ""Арзгирская РБ""",2604000303
75,"ГБУЗ СК ""Грачёвская РБ""",2606007110
76,"ГБУЗ СК ""Изобильненская РСП"", г.Изобильный",2607018281
77,"ГБУЗ СК ""Ипатовская РБ"", г.Ипатово",2608003721
78,"ГБУЗ СК ""Красногвардейская РБ""",2611005503
79,"ГБУЗ СК ""КСТБ"", с.Бурукшун",2608003746
80,"ГБУЗ СК ""Левокумская РБ"" , с.Левокумское",2613006870
81,"ГБУЗ СК ""Советская РБ"", г.Зеленокумск",2619009274
82,"ООО ""Витадент"", г.Светлоград",2617012810
83,"ООО ""Дантист"", г.Изобильный",2607011977
84,"ООО ""Дент К"", г.Изобильный",2607019567
85,"ООО ""Исток"", г.Светлоград",2617002354
86,"ООО ""КДП"" , г.Изобильный",2607019503
87,"ООО ""ПРАКТИК"", г.Изобильный",2607016132
88,"ООО ""Стоматологическая клиника Поляковой"", с.Дивное",2602000587
89,"ООО ""Стоматология"", г.Ипатово",2608800685
90,"ООО""Доктормик"", г.Ипатово",2608800357
91,"Филиал ООО ""МЕДИС"", г.Буденновск",7709239289
92,"ГБУЗ СК ""Благодарненская РБ"" , г.Благодарный",2605010625
93,"ГБУЗ СК ""Туркменская РБ"", с.Летняя Ставка",2622001927
94,"ООО ""Газпром трансгаз Ставрополь"", п.Рыздвяный",2636032629
95,"ООО ""Газпром трансгаз Ставрополь"", г.Георгиевск",2636032629
96,"РГБУЗ ""Хабезская ЦРБ""",910003300
97,"ГБУЗ СК ""Нефтекумская РБ"", г.Нефтекумск",2614015309
98,"ООО ""Магнитно-Резонансная и Компьютерная Томография"", г.Пенза",6229071563
99,"ООО ДЦ «Клиника-Сити», г.Пенза",5835121251
100,"ООО ""Газпром трансгаз Ставрополь"", Камыш-Бурунское ЛПУМГ",2636032629
101,"ООО ""Зубная Клиника Локтева"" 
 ",2617800152
102,ГБУЗ СК «Железноводская городская больница» ДОСТАВКА,2627026682
103,"ООО "" Белые Паруса""",2618021494
104,"ГБУЗ СК ""Шпаковская РБ""",2623011950
105,"ГБУЗ СК ""Степновская РБ"",с.Степное",2620001350
106,"ГБУЗ СК ""Новоалександровская РБ""",2615001940
107,"ООО ""Виталиния М""",2635228241
108,"ООО ""Пульс""",2617019853
109,ООО «Газпром Трансгаз Ставрополь» Изобильненское ЛПУМГ,2636032629
110,"ООО ""Техмед""",2607018852
111,"ООО ""Династия""",2372009511
112,"ООО ""Дент-а-Мед"", г.Буденновск",2624800403
113,"ООО ""Юнидент"",г.Буденновск ",2624030095
114,"АО ""БМУ"", Г.Буденновск",2624022344
115,"ГБУЗ СК ""Краевой Центр СВМП № 1"",г.Буденновск",2624028635
116,"ГБУЗ СК ""Курская РБ"", ст.Курская",2612017565
117,ИП Болонкин Кирилл Сергеевич,911102219002
118,ИП Гусарова Юлия Витальевна,910200227313
119,ИП Падалица Татьяна Михайловна,910206019302
120,ИП Цеков Евгений Сергеевич,910200227634
121,ИП Ткаченко Наталья Николаевна,910402859611
122,Медилайн,9107041038
123,"Медицинское частное учреждение дополнительного профессионального образования ""Клиника Медекс Севастополь""",9204564019
124,"ООО  ""МРТ Керчь""",9111016299
125,"ООО ""ДентАли"" Крым (дозиметры у них постоянно, протоколы отправлять ежеквартально)",9111023105
126,"ООО ""Симед-Крым""",9102040305
127,"ООО ""Планета Дент""",9204566016
128,ФГКУ «Санаторий «Черноморье» КРЫМ,9103001267
129,"ООО ""Медфарм Крым"" ",9111024363
130,"ООО ""Клиника Юлианы Сухорада""",9204003528
131,"ООО ""3Д СТОМ""",9102255614
132,"ООО ""Дентис-М""",9108005314
133,"ООО ""Раддент""  ",9102258090
134,ООО «ЭФАРМОН»,9204008156
135,"ООО ""Марсо-Медикал""",9103002380
136,"ООО ""Виадент""",9103014918
137,"ООО ""Кумай""  ",9203004751
138,"ООО ""Медицинские Системы""",9102013703
139,"ООО ""Эльдент""",9111007142
140,ООО «Семейная стоматология»  ,9111015295
141,ООО «Бейрут Дента»,9102051755
142,"ООО ""МРЦ ""Гармония""",9111004455
143,"ООО ""МРТ Феодосия""",9108111231
144,"ООО ""Блеск"" ",6154138497
145,"РГБЛПУ ""Республиканская Стоматологическая Поликлиника"" ",901017000
146,РГБ ЛПУ «Республиканская детская стоматологическая поликлиника»,901016983
147,Республиканское государственное бюджетное лечебно-профилактическое учреждение «Республиканская детская многопрофильная больница»,901002282
148,"ООО ""КЛИНИКА ""ВАШ ДОКТОР""",917026673
149,"РГБУЗ ""ЧГКБ"" ",901027093
150,"РГБУЗ ""КЦГРБ""",902009354
151,"РГБУЗ ""Малокарачаевская ЦРБ""  ",906002712
152,"ООО ""Жемчужина""",917021065
