2019,1,0,723,О,331,
2019,1,1,728,О,331,
2019,1,2,761,О,422,1200.0
2019,1,3,706,О,331,
2019,1,4,708,О,322,10400.0
2019,1,5,751,О,407,1200.0
2019,1,6,762,О,424,1200.0
2019,1,7,766,О,428,3600.0
2019,1,8,774,О,453,2400.0
2019,1,10,769,О/З/В/Д,449,2400.0
2019,1,11,687,О,258,6000.0
2019,1,12,750,О,406,1200.0
2019,1,13,789,О,501,1200.0
2019,1,14,694,О,276,6000.0
2019,1,15,722,О,323,1200.0
2019,1,16,"695
696
697
700",О,292,170400.0
2019,1,17,716,О,312,14400.0
2019,1,18,667,О,198,2400.0
2019,1,19,684,З/В/О,244,22800.0
2019,1,20,682,З/О,240,16800.0
2019,1,21,710,О,305,2400.0
2019,1,22,714,О,310,3600.0
2019,1,24,749,З/О,405,2400.0
2019,1,25,735,О/З/В,368,9100.0
2019,1,26,742,О,395,18000.0
2019,1,27,711,О,306,12000.0
2019,1,28,719,О,316,6000.0
2019,1,29,775,О,459,9600.0
2019,1,30,673,О,222,26400.0
2019,1,31,738,О,384,8400.0
2019,1,32,692,О,275,2400.0
2019,1,34,770,О,450,1200.0
2019,1,36,771,О,451,1200.0
2019,1,37,755,О/З,"414
415",1200.0
2019,1,38,736,О,369,2400.0
2019,1,40,758,О,419,1200.0
2019,1,41,754,О,411,3600.0
2019,1,42,689,О,259,1200.0
2019,1,43,772,О,452,1200.0
2019,1,44,782,О,493,1200.0
2019,1,46,767,О,429,2400.0
2019,1,47,768,О,430,2400.0
2019,1,48,756,О,416,2400.0
2019,1,49,"674
675",О/О,223,2400.0
2019,1,50,757,О,418,1200.0
2019,1,51,739,О,385,3600.0
2019,1,52,752,О,409,4800.0
2019,1,54,764,О,426,1200.0
2019,1,55,683,О,243,1200.0
2019,1,56,688,З/О,324,11200.0
2019,1,57,,В/О,,
2019,1,58,763,О,425,2400.0
2019,1,60,672,О,221,12000.0
2019,1,61,785,О,497,2400.0
2019,1,62,765,О,427,1200.0
2019,1,63,713,О/В,308,24000.0
2019,1,64,690,О,265,13200.0
2019,1,65,721,О,319,2400.0
2019,1,66,760,О,421,1200.0
2019,1,67,759,О,420,3600.0
2019,1,68,712,О/В,307,8400.0
2019,1,69,753,О,410,3600.0
2019,1,70,679,О/З,230,3600.0
2019,1,73,733,Д/О/З/В/В/В,365,9600.0
2019,1,74,699,О,284,8400.0
2019,1,75,784,О/В,495,7200.0
2019,1,76,781,О,492,2400.0
2019,1,78,681,З/О,388,12000.0
2019,1,79,698,О,283,2400.0
2019,1,81,731,Д/О,361,9000.0
2019,1,82,691,О,272,2400.0
2019,1,83,786,О,498,2400.0
2019,1,84,724,О,325,1200.0
2019,1,85,748,О,403,1200.0
2019,1,86,726,О,327,8400.0
2019,1,87,787,О,499,2400.0
2019,1,88,788,О,500,1200.0
2019,1,89,678,О,228,6000.0
2019,1,90,777,О,481,1200.0
2019,1,92,725,О,326,10800.0
2019,1,93,730,З/В/О,359,4750.0
2019,1,96,693,О,278,39000.0
2019,1,97,727,О,328,12000.0
2019,1,99,740,З/О,386,8400.0
2019,1,101,676,О,225,2400.0
2019,1,102,704,О/В/В,"297
298",25569.0
2019,1,104,779,О,482,9800.0
2019,1,105,00005,О,517,4800.0
2019,1,106,729,З/В/О,358,9000.0
2019,1,107,783,О,494,1200.0
2019,1,111,,З,,
2019,1,112,685,О,246,1200.0
2019,1,113,686,О,247,1200.0
2019,1,114,773,ДС/В/О,454,1200.0
2019,1,115,732,О,364,33250.0
2019,1,116,707,О,302,9000.0
2019,1,117,720,О/В,318,1200.0
2019,1,118,717,О/В,315,1200.0
2019,1,120,718,О/В,317,1200.0
2019,1,123,670.1,,,
2019,1,124,00004,О/В,515,7200.0
2019,1,126,715,О/В,311,3600.0
2019,1,130,734,О/В/З,367,3600.0
2019,1,133,,З,,
2019,1,134,,З,,
2019,1,135,671,З/О,219,1200.0
2019,1,136,677,З/О,226,1200.0
2019,1,137,737,З/О,376,6000.0
2019,1,139,728.1,,,
2019,1,144,759.1,,,
2019,1,145,776,О,470,6000.0
2019,1,146,744,О,398,1200.0
2019,1,147,745,О,399,33000.0
2019,1,149,702,О/В,321,8400.0
2019,1,150,,З,,
2019,1,151,701,З/О,287,4500.0
2019,2,0,00114,О,,
2019,2,1,00075,О,,
2019,2,2,00146,О,734,1200.0
2019,2,3,00018,О,,
2019,2,4,00068,О,602,10400.0
2019,2,5,00117,О,662,1200.0
2019,2,6,00109,О,650,1200.0
2019,2,7,00149,О,741,3600.0
2019,2,8,00118,О,663,2400.0
2019,2,10,00074,О,611,2400.0
2019,2,11,00009,О,542,6000.0
2019,2,12,00116,О,660,1200.0
2019,2,13,00155,О,748,1200.0
2019,2,14,00010,О,543,6000.0
2019,2,15,00011,О,544,1200.0
2019,2,16,"00045
00046
00047
00048",О,591,170400.0
2019,2,17,00062,О,596,14400.0
2019,2,18,00001,О,505,2400.0
2019,2,19,00021,О,558,22800.0
2019,2,20,00019,О,556,20400.0
2019,2,21,00131,О,680,2400.0
2019,2,22,00067,О,601,3600.0
2019,2,24,00148,О/Д,737,2400.0
2019,2,26,00110,О,652,18000.0
2019,2,27,00092,О,630,12000.0
2019,2,28,00061,О,595,6000.0
2019,2,29,00100,О,641,4800.0
2019,2,30,00002,О,507,25200.0
2019,2,31,00063,О,597,8400.0
2019,2,32,00008,О,524,2400.0
2019,2,33,00003,О,508,2400.0
2019,2,34,00255,О,770,1200.0
2019,2,36,00143,О,703,1200.0
2019,2,37,00113,О,655,1200.0
2019,2,38,00126,О,671,2400.0
2019,2,39,00301,О,800,4800.0
2019,2,40,00096,О,636,1200.0
2019,2,41,00112,О,654,3600.0
2019,2,42,00251,О,761,1200.0
2019,2,43,00134,О,683,1200.0
2019,2,44,00254,О,769,1200.0
2019,2,46,00150,О,742,2400.0
2019,2,47,00151,О,743,2400.0
2019,2,48,00154,О,746,2400.0
2019,2,49,"00065
00066",О/О,600,2400.0
2019,2,50,00071,О,606,1200.0
2019,2,51,00095,О,633,3600.0
2019,2,52,00069,О,604,4800.0
2019,2,53,00153,О,745,4800.0
2019,2,54,00179,О,754,1200.0
2019,2,55,00167,О,751,1200.0
2019,2,56,00027,О,581,11200.0
2019,2,58,00346,О,845,2400.0
2019,2,60,00253,О,768,12000.0
2019,2,61,00070,О,605,2400.0
2019,2,62,00097,О,637,1200.0
2019,2,63,00085,О,628,24000.0
2019,2,64,00029,О,584,13200.0
2019,2,66,00111,О,653,1200.0
2019,2,67,00180,О,755,1200.0
2019,2,68,00049,О,592,8400.0
2019,2,69,00257,О/З,773,3600.0
2019,2,70,00166,О,750,1200.0
2019,2,71,00308,О/З,834,4800.0
2019,2,72,00012,О,545,2400.0
2019,2,73,00272,О,778,7200.0
2019,2,74,00127,О,672,8400.0
2019,2,75,00303,О,798,7200.0
2019,2,76,00064,О,598,2400.0
2019,2,77,00281,О,"780
782(979)",38400.0
2019,2,78,00020,О,557,12000.0
2019,2,79,00028,О,583,2400.0
2019,2,80,00252,О,767,9900.0
2019,2,81,00302,О,801,11000.0
2019,2,83,00132,О,681,2400.0
2019,2,84,00083,О,622,1200.0
2019,2,85,00105,О,648,1200.0
2019,2,86,00094,О,632,8400.0
2019,2,87,00133,О,682,2400.0
2019,2,88,00098,О,638,1200.0
2019,2,90,00115,О,659,1200.0
2019,2,91,00073,О,610,2400.0
2019,2,92,00104,О,647,10800.0
2019,2,93,00103,О,646,4750.0
2019,2,95,00016,О,553,1200.0
2019,2,96,00152,О,744,39000.0
2019,2,97,00099,О,"639
684",12000.0
2019,2,98,00347,О/З,848,2400.0
2019,2,99,00256,О/З/В,771,8400.0
2019,2,100,00201,О,757,4800.0
2019,2,101,00280,О,779,2400.0
2019,2,102,"00013
00014
00015",О/О,"551
552",26569.0
2019,2,103,00128,О,677,2400.0
2019,2,104,00101,О,643,9800.0
2019,2,105,00102,О,644,4800.0
2019,2,106,00093,О,631,10800.0
2019,2,107,00147,О,736,1200.0
2019,2,111,00168,О,752,2400.0
2019,2,112,00136,О,685,1200.0
2019,2,113,00137,О,686,1200.0
2019,2,114,00072,О,607,1200.0
2019,2,115,"00022
00023",О/О,559,29450.0
2019,2,116,00060,О/Д,594,9000.0
2019,2,122,00125,О/В,670,4200.0
2019,2,123,00003.1,,555,2400.0
2019,2,124,00121,З/О,668,7200.0
2019,2,125,00119,О/В,666,4800.0
2019,2,127,00026,O/В,580,2400.0
2019,2,130,00300,О/В,799,3600.0
2019,2,131,00007,В/З/О,519,2400.0
2019,2,133,00006,О,518,4800.0
2019,2,136,00120,О,667,1200.0
2019,2,138,,Д/З,,
2019,2,139,00084,О,625,2400.0
2019,2,144,00123.1,,,
2019,2,145,00130,О,679,6000.0
2019,2,146,00129,О,678,1200.0
2019,2,147,00076,О,614,33000.0
2019,2,148,00304,О,796,1200.0
2019,2,149,00082,З/В/О,"620
621 (В)",12000.0
2019,2,150,,,,3000.0
2019,3,0,00394,О,,
2019,3,1,00389,О,,
2019,3,3,00393,О,,
2019,3,4,00395,О,880,10400.0
2019,3,6,00391,О,877,1200.0
2019,3,7,00445,О,956,3600.0
2019,3,8,00590,О,1147,2400.0
2019,3,10,00351,О,859,2400.0
2019,3,11,00392,О,878,6000.0
2019,3,12,00421,О,923,1200.0
2019,3,14,00429,О,938,6000.0
2019,3,15,00474,О,999,1200.0
2019,3,16,"00386
00387
00415
00416",О,893,173600.0
2019,3,17,00417,О,894,14400.0
2019,3,18,00345,О,844,2400.0
2019,3,19,00423,О/З,926,22800.0
2019,3,20,00425,О/В,934,20400.0
2019,3,21,00522,О,1028,2400.0
2019,3,22,00452,О,964,3600.0
2019,3,24,00534,О,1038,2400.0
2019,3,26,00517,О,1023,18000.0
2019,3,27,00465,О,982,12000.0
2019,3,28,00426,О,935,6000.0
2019,3,29,00537,О,1044,4800.0
2019,3,30,349,О/В,856,22000.0
2019,3,31,00525,О,1036,9100.0
2019,3,32,00583,О,1111,2400.0
2019,3,35,,З,,
2019,3,36,00472,О,994,1200.0
2019,3,37,00520,О,1026,1200.0
2019,3,38,00470,О,992,2400.0
2019,3,40,00372,О,866,1200.0
2019,3,41,00521,О,1027,3600.0
2019,3,42,00589,О/Д,1146,1200.0
2019,3,43,00573,О,1090,1200.0
2019,3,44,00464,О,891,1200.0
2019,3,46,00446,О,957,2400.0
2019,3,47,00447,О,958,2400.0
2019,3,48,00422,О,925,2400.0
2019,3,49,"00513
00514",О/О,1020,2400.0
2019,3,50,00524,О,1034,1200.0
2019,3,51,00427,О,936,3600.0
2019,3,52,00449,О,959,4800.0
2019,3,53,00582,О,1110,2400.0
2019,3,54,00543,О,1054,1200.0
2019,3,55,00575,О,1092,1200.0
2019,3,56,00469,О,991,11200.0
2019,3,58,00519,О,1025,2400.0
2019,3,60,00451,О,963,12000.0
2019,3,61,00434,О,947,2400.0
2019,3,62,00454,О,966,1200.0
2019,3,63,00370,О,1086,24000.0
2019,3,64,00536,О,1040,13200.0
2019,3,66,00515,О,1021,1200.0
2019,3,68,00453,О,965,8400.0
2019,3,71,00535,О,1039,2400.0
2019,3,72,00424,О,927,1200.0
2019,3,73,00572,О,1088,7200.0
2019,3,74,00371,О,865,8400.0
2019,3,76,00418,О,895,2400.0
2019,3,77,00588,О/В,1145,19200.0
2019,3,78,00463,О,979,12000.0
2019,3,79,00419,О,896,2400.0
2019,3,80,00518,О,1024,9900.0
2019,3,81,00473,О,998,11000.0
2019,3,82,00471,О,993,4800.0
2019,3,83,00538,О,1045,2400.0
2019,3,84,00455,О,967,1200.0
2019,3,85,00512,О,1017,1200.0
2019,3,86,00516,О,1022,8400.0
2019,3,87,00539,О,1046,2400.0
2019,3,88,00428,О,937,1200.0
2019,3,90,00385,О,868,1200.0
2019,3,92,00511,О,1016,15600.0
2019,3,95,00420,О,885,1200.0
2019,3,96,00411,О,887,39000.0
2019,3,97,00577,О,"1094
1095в",12000.0
2019,3,102,"00412
00413
00414",О/О/О,"890
891",26569.0
2019,3,104,00540,О,1047,19200.0
2019,3,105,00467,О,990,4800.0
2019,3,106,00435,О/З,948,10800.0
2019,3,107,00574,О,1091,1200.0
2019,3,109,00544,О,1055,2400.0
2019,3,110,,З,,
2019,3,112,00396,О,881,1200.0
2019,3,113,00397,О,882,1200.0
2019,3,114,00350,О,858,1200.0
2019,3,116,00458,О/Д,973,9000.0
2019,3,122,00432,О/В,943,2100.0
2019,3,123,00348,З/О,850,1200.0
2019,3,124,0444,О/В,954,6000.0
2019,3,125,00437,О/В/З,951,2400.0
2019,3,127,00523,О/З,1030,1200.0
2019,3,129,00450,О/З/В,961,3600.0
2019,3,131,00433,О/В,944,1200.0
2019,3,132,00457,О/З/В,972,3600.0
2019,3,133,00431,З/О/В,941,2400.0
2019,3,135,00443,О/В/З,953,2400.0
2019,3,136,00475,О/З/В,1001,1200.0
2019,3,139,00459,О/З/В,976,1200.0
2019,3,140,,З,,
2019,3,141,00466,О/В/З,985,1200.0
2019,3,144,,З,,
2019,3,145,00542,О/З/В,1049,6000.0
2019,3,146,00541,О/З/В,1048,1200.0
2019,3,147,00510,О,1015,33000.0
2019,3,149,00578,О/В/З/Д,"1143
1144 (в)",7200.0
2019,3,150,"00430
00456",О/З/В,"939
968
",42000.0
2019,4,102,,З,,
2019,4,122,,З,,
2019,4,124,,З,,
2019,4,131,,З,,
2019,4,142,,З,,
2019,4,143,,З,,
2019,4,152,,Д/З,,
